Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"navigateToUrl(baseUrl + ""/checkout.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:41:45,03-05-2026 16:41:45,0.380s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:41:45,03-05-2026 16:41:47,2.014s,PASSED
"setText(findTestObject(""Page_Checkout/textarea_alamat_pengiriman""), ""Jl. Test No.10"")",Chrome 147.0.7727.138,,,03-05-2026 16:41:47,03-05-2026 16:41:48,0.709s,PASSED
"selectOptionByValue(findTestObject(""Page_Checkout/select_metode_pembayaran""), ""e_wallet"", true)",Chrome 147.0.7727.138,,,03-05-2026 16:41:48,03-05-2026 16:41:49,0.934s,PASSED
"click(findTestObject(""Page_Checkout/btn_checkout""))",Chrome 147.0.7727.138,,,03-05-2026 16:41:49,03-05-2026 16:41:50,1.098s,PASSED
delay(3),Chrome 147.0.7727.138,,,03-05-2026 16:41:50,03-05-2026 16:41:53,3.012s,PASSED
"verifyMatch(getUrl(), "".*riwayat.php.*"", true)",Chrome 147.0.7727.138,,,03-05-2026 16:41:53,03-05-2026 16:41:53,0.010s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,03-05-2026 16:41:53,03-05-2026 16:41:53,0.228s,PASSED
,,,,,,,
Test Cases/TC_Checkout/TC_CHK_007_Checkout_Alamat_Kurang,Chrome 147.0.7727.138,,,03-05-2026 16:41:53,03-05-2026 16:42:13,19.347s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,03-05-2026 16:41:53,03-05-2026 16:41:55,1.483s,PASSED
"navigateToUrl(baseUrl + ""/login.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:41:55,03-05-2026 16:41:57,2.608s,PASSED
maximizeWindow(),Chrome 147.0.7727.138,,,03-05-2026 16:41:57,03-05-2026 16:41:57,0.031s,PASSED
"setText(findTestObject(""Page_Login/input_email""), validEmail)",Chrome 147.0.7727.138,,,03-05-2026 16:41:57,03-05-2026 16:41:58,0.812s,PASSED
"setText(findTestObject(""Page_Login/input_password""), validPassword)",Chrome 147.0.7727.138,,,03-05-2026 16:41:58,03-05-2026 16:41:59,0.740s,PASSED
"click(findTestObject(""Page_Login/btn_login""))",Chrome 147.0.7727.138,,,03-05-2026 16:41:59,03-05-2026 16:42:01,1.935s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:42:01,03-05-2026 16:42:03,2.008s,PASSED
"navigateToUrl(baseUrl + ""/index.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:42:03,03-05-2026 16:42:03,0.293s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:42:03,03-05-2026 16:42:05,2.005s,PASSED
"click(findTestObject(""Page_Beranda/btn_add_cart_1""))",Chrome 147.0.7727.138,,,03-05-2026 16:42:05,03-05-2026 16:42:06,0.413s,PASSED
delay(1),Chrome 147.0.7727.138,,,03-05-2026 16:42:06,03-05-2026 16:42:07,1.013s,PASSED
"navigateToUrl(baseUrl + ""/checkout.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:42:07,03-05-2026 16:42:07,0.650s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:42:07,03-05-2026 16:42:09,2.013s,PASSED
"setText(findTestObject(""Page_Checkout/textarea_alamat_pengiriman""), ""Jl. A"")",Chrome 147.0.7727.138,,,03-05-2026 16:42:09,03-05-2026 16:42:10,0.717s,PASSED
"selectOptionByValue(findTestObject(""Page_Checkout/select_metode_pembayaran""), ""transfer_bank"", true)",Chrome 147.0.7727.138,,,03-05-2026 16:42:10,03-05-2026 16:42:11,0.907s,PASSED
"click(findTestObject(""Page_Checkout/btn_checkout""))",Chrome 147.0.7727.138,,,03-05-2026 16:42:11,03-05-2026 16:42:11,0.385s,PASSED
delay(1),Chrome 147.0.7727.138,,,03-05-2026 16:42:11,03-05-2026 16:42:12,1.015s,PASSED
"verifyMatch(getUrl(), "".*checkout.php.*"", true)",Chrome 147.0.7727.138,,,03-05-2026 16:42:12,03-05-2026 16:42:12,0.010s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,03-05-2026 16:42:12,03-05-2026 16:42:13,0.236s,PASSED
,,,,,,,
Test Cases/TC_Checkout/TC_CHK_008_Checkout_Dengan_Catatan,Chrome 147.0.7727.138,,,03-05-2026 16:42:13,03-05-2026 16:42:37,23.914s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,03-05-2026 16:42:13,03-05-2026 16:42:14,1.521s,PASSED
